ignore if not empty;modname;modurl;dependencies;Tags;Modpack;Notes;edited;moddesc;ModDB URL;Forum URL;imported
;tnt_revamped;https://github.com/Coder12a/tnt_revamped;;;;;;[TNT Revamped] Overrides the TNT mod to make it more like mc TNT.;https://content.minetest.net/packages/Coder12/tnt_revamped/;https://forum.minetest.net/viewtopic.php?t=22809;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;bows;https://notabug.org/TenPlus1/bows;default ;;;;;[Bows] Adds bows and arrows to game. Fork of the mod by AiTechEye;https://content.minetest.net/packages/TenPlus1/bows/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;lavastuff;https://github.com/minetest-mods/lavastuff;bucket default ;;;;;[Lava Stuff] Adds lava armor, tools, and blocks;https://content.minetest.net/packages/Lone_Wolf/lavastuff/;https://forum.minetest.net/viewtopic.php?t=18608;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;treasurer;;;;;;;[Treasurer] A framework to define and distribute random treasures into the world.;https://content.minetest.net/packages/Wuzzy/treasurer/;https://forum.minetest.net/viewtopic.php?t=7292;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;replacer;https://github.com/Sokomine/replacer;;;;;;[Replacer] Exchange/replace nodes with one click.;https://content.minetest.net/packages/Sokomine/replacer/;https://forum.minetest.net/viewtopic.php?t=4676;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobs_balrog;https://github.com/h4ml3t/mobs_balrog;tnt default mobs ;;;;;[Mobs Balrog] Adds balrogs.;https://content.minetest.net/packages/Hamlet/mobs_balrog/;https://forum.minetest.net/viewtopic.php?t=18459;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;cloudlands;https://github.com/Treer/cloudlands;;;;;;[Hallelujah Mountains (AKA Cloudlands)] Giant rocks floating suspended in magnetic eddies. (skylands, islands, fantasy, giant trees);https://content.minetest.net/packages/DrFrankenstone/cloudlands/;https://forum.minetest.net/viewtopic.php?t=20257;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;tsm_surprise;http://repo.or.cz/minetest_tsm_surprise.git;treasurer ;;;;;[Surprise Blocks] Randomly spawns surprise blocks closely about ground level.;https://content.minetest.net/packages/Wuzzy/tsm_surprise/;https://forum.minetest.net/viewtopic.php?t=9452;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;carpets;https://github.com/minetest-mods/carpets;;;;;;[Carpets] Carpets;https://content.minetest.net/packages/bell07/carpets/;https://forum.minetest.net/viewtopic.php?t=15459;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobs_dwarves;https://github.com/h4ml3t/mobs_dwarves;mobs default ;;;;;[Mobs Dwarves] Adds dwarves.;https://content.minetest.net/packages/Hamlet/mobs_dwarves/;https://forum.minetest.net/viewtopic.php?t=20455;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;modutil;https://github.com/theFox6/modutil;;;;;;[mod utilities] Providing some utilities that can be used by other mods.;https://content.minetest.net/packages/theFox/modutil/;https://forum.minetest.net/viewtopic.php?t=22692;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;pie;https://notabug.org/tenplus1/pie;default ;;;;;[Pie] Add cakes to MInetest;https://content.minetest.net/packages/TenPlus1/pie/;https://forum.minetest.net/viewtopic.php?t=13285;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;xban2;https://github.com/minetest-mods/xban2;;;;;;[eXtended Ban 2] Tempbanning and better banning by keeping track of usernames and IP addresses;https://content.minetest.net/packages/kaeza/xban2/;https://forum.minetest.net/viewtopic.php?t=9315;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;elevators;https://github.com/Herkules128/elevators;default ;;;;;[Elevators] Adds an elevator and elevatorrails.;https://content.minetest.net/packages/Herkules/elevators/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;skinmaker;https://github.com/GreenXenith/skinmaker;player_api ;;;;;[Skinmaker] In-game live player skin editor.;https://content.minetest.net/packages/GreenDimond/skinmaker/;https://forum.minetest.net/viewtopic.php?t=22867;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;facade;https://github.com/TumeniNodes/facade;default ;;;;;[Facade] Adds decorative clay and stone-type nodes to Minetest Game.;https://content.minetest.net/packages/TumeniNodes/facade/;https://forum.minetest.net/viewtopic.php?t=18208;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hbarmor;https://repo.or.cz/minetest_hbarmor.git;hudbars 3d_armor ;;;;;[Armor HUD bar] Adds a HUD bar displaying the current damage of the player's armor.;https://content.minetest.net/packages/Wuzzy/hbarmor/;https://forum.minetest.net/viewtopic.php?t=11337;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;warp_potions;https://github.com/Ezhh/warp_potions;;;;;;[Warp Potions] Cost per use potions teleport system designed for survival servers.;https://content.minetest.net/packages/Shara/warp_potions/;https://forum.minetest.net/viewtopic.php?t=18630;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mana;http://repo.or.cz/minetest_mana.git;;;;;;[Mana] Adds a mana attribute to players, can be used as energy source for magical items, etc.;https://content.minetest.net/packages/Wuzzy/mana/;https://forum.minetest.net/viewtopic.php?t=11154;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;airsword;https://github.com/ChristianSirolli/AirSword;default ;;;;;[Air Sword] The legendary AirSword, in code that is visible (but not recommended to be viewed).;https://content.minetest.net/packages/csirolli/airsword/;https://forum.minetest.net/viewtopic.php?t=20212;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;ambience;https://notabug.org/TenPlus1/ambience;default ;;;;;[Ambience Lite] Add ambient sounds to the world around you;https://content.minetest.net/packages/TenPlus1/ambience/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;landrush;https://github.com/Bremaweb/landrush;doors ;;;;;[Land Rush] Chunk-based protection.;https://content.minetest.net/packages/BrandonReese/landrush/;https://forum.minetest.net/viewtopic.php?t=4799;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobs_ghost_redo;https://github.com/h4ml3t/mobs_ghost_redo;bones default mobs ;;;;;[Mobs Ghost Redo] Adds ghosts.;https://content.minetest.net/packages/Hamlet/mobs_ghost_redo/;https://forum.minetest.net/viewtopic.php?t=19907;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;artdeco;https://github.com/TumeniNodes/artdeco;default doors ;;;;;[ArtDeco] This mod just adds some new building blocks to Minetest.;https://content.minetest.net/packages/TumeniNodes/artdeco/;https://forum.minetest.net/viewtopic.php?t=14444;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;morelights;https://github.com/random-geek/morelights;dye default wool farming ;;;;;[Morelights] Provides flexible interior and exterior lighting options for different styles of builds.;https://content.minetest.net/packages/random_geek/morelights/;https://forum.minetest.net/viewtopic.php?t=21464;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;superflat;https://github.com/srifqi/superflat;default ;;;;;[Superflat] (Yet Another) Superflat Map Generator: Costumize world generation layer by layer;https://content.minetest.net/packages/srifqi/superflat/;https://forum.minetest.net/viewtopic.php?t=9772;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;cmi;https://github.com/raymoo/cmi;;;;;;[Common Mob Interface] A standard modding interface for interacting with mobs;https://content.minetest.net/packages/Byakuren/cmi/;https://forum.minetest.net/viewtopic.php?t=15448;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;factory_bridges;https://github.com/narrnika/factory_bridges;default ;;;;;[Bridges and stairs, factory-style] Adds a steel bridges, railings and stairs in Minetest.;https://content.minetest.net/packages/narrnika/factory_bridges/;https://forum.minetest.net/viewtopic.php?t=12974;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;inventorybags;https://github.com/cx384/inventorybags;farming bucket dye stairs wool default ;;;;;[Inventory Bags] Adds bags;https://content.minetest.net/packages/cx384/inventorybags/;https://forum.minetest.net/viewtopic.php?t=17847;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mesetec;https://github.com/AiTechEye/mesetec;default mesecons ;;;;;[Mesecon Technology (MeseTec)] Adds some extra and usefull mesecons stuff;https://content.minetest.net/packages/AiTechEye/mesetec/;https://forum.minetest.net/viewtopic.php?t=15974;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hot_air_balloons;https://notabug.org/NetherEran/hot_air_balloons;;;;;;[Hot Air Balloons] Adds craftable and controllable hot air balloons.;https://content.minetest.net/packages/Eran/hot_air_balloons/;https://forum.minetest.net/viewtopic.php?t=22367;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hunger_ng;https://gitlab.com/4w/hunger_ng;default farming ;;;;;[Hunger NG] Hunger NG is a mod for Minetest adding a very customizable and easy to extend hunger system.;https://content.minetest.net/packages/Linuxdirk/hunger_ng/;https://forum.minetest.net/viewtopic.php?t=19664;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;castle_weapons;https://github.com/minetest-mods/castle_weapons;default ;;;;;[Castle Weapons] Provides several medieval weapons for use around castles;https://content.minetest.net/packages/FaceDeer/castle_weapons/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mpd;https://github.com/orwell96/mpd;;;;;;[Music Player Daemon] A background music mod;https://content.minetest.net/packages/orwell/mpd/;https://forum.minetest.net/viewtopic.php?t=17770;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;sfinv_buttons;http://repo.or.cz/minetest_sfinv_buttons.git;sfinv ;;;;;[Simple Fast Inventory Buttons] Adds a tab to the Simple Fast Inventory on which mods can add buttons for easy access.;https://content.minetest.net/packages/Wuzzy/sfinv_buttons/;https://forum.minetest.net/viewtopic.php?t=16079;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;food_sweet;https://github.com/rubenwardy/food_sweet;food_basic ;;;;;[Sweet Foods] Adds cakes, buns and tarts.;https://content.minetest.net/packages/rubenwardy/food_sweet/;https://forum.minetest.net/viewtopic.php?t=9039;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;multidimensions;https://github.com/AiTechEye/multidimensions;default ;;;;;[Multidimensions] Adds a few dimensions/worlds;https://content.minetest.net/packages/AiTechEye/multidimensions/;https://forum.minetest.net/viewtopic.php?t=16009;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hopper;https://github.com/minetest-mods/hopper;;;;;;[Hopper] Adds hoppers to transport items between chests/furnace etc.;https://content.minetest.net/packages/FaceDeer/hopper/;https://forum.minetest.net/viewtopic.php?t=20058;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;bucket_wooden;https://gitlab.com/h2mm/wooden_bucket;default ;;;;;[Wooden Bucket] A bucket made of wood for new farmers;https://content.minetest.net/packages/Hume2/bucket_wooden/;https://forum.minetest.net/viewtopic.php?t=22133;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;obsidianstuff;https://github.com/SoloSniperCode/obsidianstuff;;;;;;[ObsidianStuff] Adds obsidian tools and armour;https://content.minetest.net/packages/SoloSniper/obsidianstuff/;https://forum.minetest.net/viewtopic.php?t=9;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;flowerpot;https://github.com/minetest-mods/flowerpot;default farming flowers ;;;;;[Flowerpot] A stylish flowerpot that can contain most plants.;https://content.minetest.net/packages/sofar/flowerpot/;https://forum.minetest.net/viewtopic.php?t=16574;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;underch;https://gitlab.com/h2mm/underch;default ;;;;;[Underground Challenge] Explore all 62 underground biomes!;https://content.minetest.net/packages/Hume2/underch/;https://forum.minetest.net/viewtopic.php?t=20384;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;simple_protection;https://github.com/SmallJoker/simple_protection.git;;;;;;"[Simple protection [simple_protection]] Minetest fixed-grid quadratic area protection mod with graphical area ""minimap""";https://content.minetest.net/packages/Krock/simple_protection/;https://forum.minetest.net/viewtopic.php?t=9035;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;throwing;https://github.com/minetest-mods/throwing;default farming ;;;;;[Throwing Redo] New throwing implementation designed to be extensible;https://content.minetest.net/packages/Palige/throwing/;https://forum.minetest.net/viewtopic.php?t=16365;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;teleport_potion;https://notabug.org/tenplus1/teleport_potion;default ;;;;;[Teleport Potion] Adds craftable teleport potions (throwable) and teleport pads.;https://content.minetest.net/packages/TenPlus1/teleport_potion/;https://forum.minetest.net/viewtopic.php?t=9234;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;towercrane;https://github.com/minetest-mods/towercrane;default ;;;;;[Tower Crane] A scaffold alternative for your building site ;https://content.minetest.net/packages/joe7575/towercrane/;https://forum.minetest.net/viewtopic.php?t=17812;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;wesh;https://github.com/entuland/wesh;matrix ;;;;;[Woolen Mesh Creator] Not only wool! Miniaturizes builds and allows rebuilding them too;https://content.minetest.net/packages/entuland/wesh/;https://forum.minetest.net/viewtopic.php?t=20115;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;first_person_shooter;https://github.com/ss-gnalvesteffer/mt-firstpersonshooter;;;;;;[First Person Shooter] Adds sprite-based guns with animations (warning: may lag or crash);https://content.minetest.net/packages/Zooloo75/first_person_shooter/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;round_trunks;https://github.com/h4ml3t/round_trunks;default ;;;;;[Round Tree Trunks] Turns (default) cubic tree trunks into cylindrical.;https://content.minetest.net/packages/Hamlet/round_trunks/;https://forum.minetest.net/viewtopic.php?t=20036;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;secret;;;;;;;[Secret] Adds hidden and secret nodes.;https://content.minetest.net/packages/artur99/secret/;https://forum.minetest.net/viewtopic.php?t=4930;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;prestibags;https://github.com/prestidigitator/minetest-mod-prestibags;;;;;;[Prestibags] Prestibags are simple bags that act like chests you can pick up.;https://content.minetest.net/packages/prestidigitator/prestibags/;https://forum.minetest.net/viewtopic.php?t=5026;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;anvil;https://github.com/minetest-mods/anvil;default ;;;;;[Anvil] Hammer and anvil for repairing tools;https://content.minetest.net/packages/FaceDeer/anvil/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;darkage;https://github.com/davisonio/darkage;default ;;;;;[DarkAge Improved] This mod adds some new blocks that allow pre-industrial looking buildings to be made.;https://content.minetest.net/packages/CraigyDavi/darkage/;https://forum.minetest.net/viewtopic.php?t=10063;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;bank_accounts;https://github.com/Tmanyo/bank_accounts;currency ;;;;;[Bank Accounts] Adds bank accounts with ATMs and Debit\Credit cards.;https://content.minetest.net/packages/Tmanyo/bank_accounts/;https://forum.minetest.net/viewtopic.php?t=16271;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;australia;https://github.com/vlapsley/australia;bucket stairs default ;;;;;[Australia] Adds a wide variety of Australia-themed biomes and content;https://content.minetest.net/packages/demon_boy/australia/;https://forum.minetest.net/viewtopic.php?t=14412;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;extra_doors;https://bitbucket.org/sorcerykid/extra_doors;doors ;;;;;[Extra Doors] Extra Doors provides a range of interior and exterior doors for builders;https://content.minetest.net/packages/sorcerykid/extra_doors/;https://forum.minetest.net/viewtopic.php?t=20744;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;fachwerk;https://github.com/JBBgameich/fachwerk;default ;;;;;[Timber Frame] This mod adds timber-framed clay, bricks, cobble, stone and stone bricks to the game.;https://content.minetest.net/packages/jbb/fachwerk/;https://forum.minetest.net/viewtopic.php?t=11036;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;stamina;https://github.com/minetest-mods/stamina;default ;;;;;[Stamina] Adds stamina and hunger effects.;https://content.minetest.net/packages/sofar/stamina/;https://forum.minetest.net/viewtopic.php?t=19675;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hbsprint;https://github.com/minetest-mods/hbsprint;;;;;;[Hbsprint] A flexible sprint mod supporting stamina, hunger and monoids.;https://content.minetest.net/packages/texmex/hbsprint/;https://forum.minetest.net/viewtopic.php?t=18069;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;abriglass;https://github.com/Ezhh/abriglass;default dye ;;;;;[Abriglass] Adds coloured glass, patterned stained glass, glass lights and one way windows.;https://content.minetest.net/packages/Shara/abriglass/;https://forum.minetest.net/viewtopic.php?t=16085;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;currency;https://gitlab.com/VanessaE/currency.git;default ;;;;;"[Currency] Provides shops, barter tables, safes, and multiple denominations of currency, called ""Minegeld"".  Originally written by Dan Duncombe, but maintained by me.";https://content.minetest.net/packages/VanessaE/currency/;https://forum.minetest.net/viewtopic.php?t=21339;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;frame;https://github.com/minetest-mods/frame;default ;;;;;[Frame] A stylish item and node frame that causes no lag/server load.;https://content.minetest.net/packages/sofar/frame/;https://forum.minetest.net/viewtopic.php?t=16585;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;minecart;https://github.com/joe7575/minecart;carts default ;;;;;[Minecart] Minecart, the lean railway transportation automation system;https://content.minetest.net/packages/joe7575/minecart/;https://forum.minetest.net/viewtopic.php?t=22574;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;farbows;https://github.com/runsy/farbows.git;default farming fire rcbows tnt ;;;;;[Far Bows] It adds tree weapons: Wooden Bow, Mese Bow and Flamig Bow.;https://content.minetest.net/packages/runs/farbows/;https://forum.minetest.net/viewtopic.php?t=24512;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;painted_3d_armor;https://github.com/evrooije/painted_3d_armor;3d_armor default ;;;;;[Painted 3D Armor] Adds banners to your armor, either painted using the painting mod or created using the banners mod;https://content.minetest.net/packages/Beerholder/painted_3d_armor/;https://forum.minetest.net/viewtopic.php?t=18178;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;lumberjack;https://github.com/joe7575/lumberjack;default ;;;;;[Lumberjack] The whole tree is dropped when you did the bottom node;https://content.minetest.net/packages/joe7575/lumberjack/;https://forum.minetest.net/viewtopic.php?t=19948;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;worldeditadditions;https://github.com/sbrl/Minetest-WorldEditAdditions.git;worldedit worldedit_commands ;;;;;[WorldEdit Additions] Extra tools and commands to extend WorldEdit.;https://content.minetest.net/packages/Starbeamrainbowlabs/worldeditadditions/;https://forum.minetest.net/viewtopic.php?t=24635;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;pedology;http://repo.or.cz/minetest_pedology.git;;;;;;[Pedology] Adds some different ground blocks in several wetness levels, the wetness slowly flows downward.;https://content.minetest.net/packages/Wuzzy/pedology/;https://forum.minetest.net/viewtopic.php?t=9429;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mylandscaping;https://github.com/minetest-mods/mylandscaping;default bucket ;;;;;[Mylandscaping] Lets you put up decorative walls around your gardens, and make pretty hardscapes.;https://content.minetest.net/packages/Nathan.S/mylandscaping/;https://forum.minetest.net/viewtopic.php?t=12094;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;roads;https://cheapiesystems.com/git/roads;;;;;;[Roads] Advanced modern road infastructure (fork);https://content.minetest.net/packages/cheapie/roads/;https://forum.minetest.net/viewtopic.php?t=13904;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;motorbike;https://github.com/Extex101/motorbike;default player_api wool ;;;;;[Motorbike] Adds various coloured motorbikes;https://content.minetest.net/packages/Extex/motorbike/;https://forum.minetest.net/viewtopic.php?t=24244;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;sedimentology;https://github.com/minetest-mods/sedimentology;default ;;;;;[Sedimentology] A mod that adds realistic erosion and degradation of rocks.;https://content.minetest.net/packages/sofar/sedimentology/;https://forum.minetest.net/viewtopic.php?t=11028;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;overpowered;https://github.com/aidanlcb/overpowered;default ;;;;;[OverPowered] Adds super overpowered and expensive endgame tools, armor, weapons, and blocks;https://content.minetest.net/packages/AidanLCB/overpowered/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;workbench;https://github.com/minetest-mods/workbench;default stairs ;;;;;[Work Bench] Adds a Work Bench;https://content.minetest.net/packages/jp/workbench/;https://forum.minetest.net/viewtopic.php?t=14085;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;tubelib2;https://github.com/joe7575/tubelib2;default ;;;;;[Tubelib2] A library for mods which need connecting tubes / pipes / cables or similar.;https://content.minetest.net/packages/joe7575/tubelib2/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;easyvend;http://repo.or.cz/minetest_easyvend.git;;;;;;[Easy Vending Machines] Adds vending and depositing machines which allow to buy and sell items from other players, using a currency item.;https://content.minetest.net/packages/Wuzzy/easyvend/;https://forum.minetest.net/viewtopic.php?t=15472;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;mobs_others;https://github.com/h4ml3t/mobs_others;default mobs ;;;;;[Mobs Snow Walkers] Adds the Snow Walkers mobs, and an obsidian sword.;https://content.minetest.net/packages/Hamlet/mobs_others/;https://forum.minetest.net/viewtopic.php?t=19921;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;airtanks;https://github.com/minetest-mods/airtanks;default ;;;;;[Airtanks] Provides pressurized air tanks for extended underwater excursions;https://content.minetest.net/packages/FaceDeer/airtanks/;https://forum.minetest.net/viewtopic.php?t=17102;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;adv_weapons;https://github.com/appgurueu/adv_weapons;modlib tnt ;;;;;[Advanced Weapons] Adds a variety of advanced weapons.;https://content.minetest.net/packages/LMD/adv_weapons/;https://forum.minetest.net/viewtopic.php?t=24538;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;meseportals;https://notabug.org/Piezo_/minetest-meseportals;bucket default ;;;;;[Mese Portals] A futuristic multiplayer transportation system;https://content.minetest.net/packages/Piezo_/meseportals/;https://forum.minetest.net/viewtopic.php?t=20779;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;cool_trees;https://github.com/runsy/cool_trees/;default ;;;;;[Cool Trees] It adds some cute trees.;https://content.minetest.net/packages/runs/cool_trees/;https://forum.minetest.net/viewtopic.php?t=22356;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;digiterms;https://github.com/pyrollo/digiterms;dye font_api display_api default digilines ;;;;;[Digiterms] 8bits style monitor and keyboards using digilines;https://content.minetest.net/packages/Pyrollo/digiterms/;https://forum.minetest.net/viewtopic.php?t=21518;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;wielded_light;https://github.com/minetest-mods/wielded_light;;;;;;[Wielded Light] Adds shining for wielded and dropped items;https://content.minetest.net/packages/bell07/wielded_light/;https://forum.minetest.net/viewtopic.php?t=19378;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;unternull;https://github.com/CasimirKaPazi/unternull;default ;;;;;[Unter Null] You start swimming in the middle of an infinite ocean. Take your time and build.;https://content.minetest.net/packages/Casimir/unternull/;https://forum.minetest.net/viewtopic.php?t=6888;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;magic_potions;https://github.com/appgurueu/magic_potions;hud_timers modlib ;;;;;[Magic Potions] Potions which grant player effects;https://content.minetest.net/packages/LMD/magic_potions/;https://forum.minetest.net/viewtopic.php?t=24208;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;playerplus;https://notabug.org/tenplus1/playerplus;;;;;;[Player Plus Mod] Adds effects to player to change speeds and cause damage;https://content.minetest.net/packages/TenPlus1/playerplus/;https://forum.minetest.net/viewtopic.php?t=10090;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;craft_table;https://github.com/BrunoMine/craft_table;default ;;;;;[Craft Table] Add Craft Table;https://content.minetest.net/packages/BrunoMine/craft_table/;https://forum.minetest.net/viewtopic.php?t=23771;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;death_messages;https://github.com/4Evergreen4/death_messages;;;;;;[Death Messages] Sends a chat message when a player dies;https://content.minetest.net/packages/Evergreen/death_messages/;https://forum.minetest.net/viewtopic.php?t=8821;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;alphabet;;;;;;;[Alphabet] This simple mod adds blocks with letters (A-Z, a-z) numbers and symbols.;https://content.minetest.net/packages/cactuz_pl/alphabet/;https://forum.minetest.net/viewtopic.php?t=2312;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;ts_doors;https://github.com/minetest-mods/ts_doors;doors default ts_workshop ;;;;;[ts_doors] Adds doors for all kinds of wood.;https://content.minetest.net/packages/Thomas-S/ts_doors/;https://forum.minetest.net/viewtopic.php?t=15054;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;hook;https://github.com/AiTechEye/hook;;;;;;[Hook (survival tools)] Survive & climbing tools;https://content.minetest.net/packages/AiTechEye/hook/;https://forum.minetest.net/viewtopic.php?t=13634;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;waterfalls;;default ;;;;;[Waterfalls] Adds water erosion, so flowing water forms somewhat more realistic looking waterfalls.;https://content.minetest.net/packages/Termos/waterfalls/;https://forum.minetest.net/viewtopic.php?t=21916;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;spaceship;https://github.com/Blockcolor/SpaceShip;default ;;;;;[Spaceship] This a Fork Airboat with SpaceShip Model // Model by Viktor Hahn (CC By 3.0);https://content.minetest.net/packages/Chiantos/spaceship/;https://forum.minetest.net/viewtopic.php?t=20952;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;real_torch;https://notabug.org/tenplus1/real_torch;default ;;;;;[Real Torch] Realistic torches that go out eventually and drop in water;https://content.minetest.net/packages/TenPlus1/real_torch/;https://forum.minetest.net/viewtopic.php?t=15721;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;sdwalls;https://gitlab.com/4w/sdwalls.git;default ;;;;;[Super Duper Walls!] This mod adds modular flexible walls to Minetest.;https://content.minetest.net/packages/Linuxdirk/sdwalls/;https://forum.minetest.net/viewtopic.php?t=20775;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;fallen_nodes;https://gitlab.com/H4mlet/fallen_nodes;default farming stairs walls ;;;;;[Fallen Nodes] Adds dirt, cobble, snow, straw and cactus nodes to the falling_node group. Papyrus will fall too.;https://content.minetest.net/packages/Hamlet/fallen_nodes/;https://forum.minetest.net/viewtopic.php?t=18239;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;c_doors;https://github.com/TumeniNodes/c_doors;default doors ;;;;;[C Doors] Adds centered doors, and villa style windows to Minetest.;https://content.minetest.net/packages/TumeniNodes/c_doors/;https://forum.minetest.net/viewtopic.php?t=16423;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;halloween;https://github.com/GreenXenith/halloween;default dye 3d_armor ;;;;;[Halloween] Adds Halloween candy and costumes.;https://content.minetest.net/packages/GreenDimond/halloween/;https://forum.minetest.net/viewtopic.php?t=18702;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;pkarcs;https://github.com/TumeniNodes/pkarcs;default doors xpanes ;;;;;[pkarcs] Adds arched doors;https://content.minetest.net/packages/TumeniNodes/pkarcs/;https://forum.minetest.net/viewtopic.php?t=22839;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;stairs;https://notabug.org/tenplus1/stairs;default ;;;;;[Stairs Redo] Adds more stair types to Minetest.;https://content.minetest.net/packages/TenPlus1/stairs/;;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
;jumpdrive;https://github.com/thomasrudin-mt/jumpdrive;default technic ;;;;;[Jumpdrive] Take your buildings with you on your journey.;https://content.minetest.net/packages/BuckarooBanzay/jumpdrive/;https://forum.minetest.net/viewtopic.php?t=20073;https://content.minetest.net/api/packages/?type=mod&hide=nonfree
